metric	count
mapping_status:primary_eligible	39815
mapping_status:unmapped	9953
mapping_status:one_to_many	1524
mapping_status:constant	96
mapping_status:cross_hybridizing_x_at	3225
mapping_status:control_affx	62
suffix_class:s_at	11292
suffix_class:at	37394
suffix_class:a_at	1720
suffix_class:x_at	4207
suffix_class:control	62
total_probe_sets	54675
noncontrol_nonconstant_denominator	54517
primary_eligible_probes	39815
primary_eligible_fraction	0.730322651649944
unique_testable_entrez	20357
genes_with_multiple_eligible_probes	10281
