diagnostic_set	entrez_id	symbol_at_run	representative_probe_id	raw_normal_mean	raw_cancer_mean	raw_cancer_minus_normal	log2FC	ci95_low	ci95_high	bh_fdr	treat_bh_fdr	s1_log2FC	s2_log2FC	qc_candidate_exclusion_log2FC	median_collapse_log2FC	constituent_same_direction_fraction	raw_and_adjusted_direction_concordant
predefined_top10_each_direction_by_TREAT_FDR	1832	DSP	200606_at	5.49752053994118	10.4753211490288	4.97780060908767	5.24899656583078	4.37063355571425	6.1273595759473	1.47232334258838e-18	2.19962133370024e-17	4.97780060908767	5.24899656583077	4.8392193060952	5.24899656583078	1	TRUE
predefined_top10_each_direction_by_TREAT_FDR	54845	ESRP1	225846_at	4.27623114841177	9.17106547252885	4.89483432411708	4.99230491388878	4.10407252516532	5.88053730261225	3.78530202466749e-17	5.60452265472341e-16	4.89483432411709	4.99230491388878	4.66952133485163	3.8678178060512	1	TRUE
predefined_top10_each_direction_by_TREAT_FDR	10653	SPINT2	210715_s_at	6.78285340876471	10.9817854663558	4.19893205759106	4.14608633609481	3.41243409326798	4.87973857892163	2.9119970421345e-17	6.90604602840077e-16	4.19893205759106	4.1460863360948	4.05151043993318	4.14608633609481	1	TRUE
predefined_top10_each_direction_by_TREAT_FDR	286077	FAM83H	226129_at	4.71218265770588	8.66329178950962	3.95110913180373	4.02241141147454	3.28409382994201	4.76072899300707	1.78264191401049e-16	4.62034917493257e-15	3.95110913180373	4.02241141147453	3.72787706866399	2.0125162656985	1	TRUE
predefined_top10_each_direction_by_TREAT_FDR	5590	PRKCZ	202178_at	3.98586190170588	6.66953296200962	2.68367106030373	2.58210734559701	2.10502374141954	3.05919094977447	2.41643138161431e-16	3.77719016795318e-14	2.68367106030373	2.58210734559701	2.57674464669968	1.2269481792646	0.5	TRUE
predefined_top10_each_direction_by_TREAT_FDR	7020	TFAP2A	204653_at	5.46948167235294	10.130188429375	4.66070675702206	4.92488411186027	3.9294424931058	5.92032573061475	2.07499650885339e-14	2.01684632548652e-13	4.66070675702206	4.92488411186027	4.38281835808497	1.19185793952927	1	TRUE
predefined_top10_each_direction_by_TREAT_FDR	55227	LRRC1	218816_at	4.42487039717647	7.38949552324039	2.96462512606391	2.99386463984849	2.4082117180115	3.57951756168549	4.16090286281231e-15	2.45518634764041e-13	2.96462512606392	2.99386463984849	2.80756747702288	1.55411977149061	1	TRUE
predefined_top10_each_direction_by_TREAT_FDR	6382	SDC1	201286_at	3.16527773564706	7.802565261875	4.63728752622794	4.44735570201346	3.54329039188159	5.35142101214533	2.71118416876863e-14	3.41222398557753e-13	4.63728752622794	4.44735570201346	4.3381623638866	4.32805976696256	1	TRUE
predefined_top10_each_direction_by_TREAT_FDR	4072	EPCAM	201839_s_at	6.76767320494118	11.9241180025577	5.15644479761652	5.24769523100806	4.17028711211769	6.32510334989843	4.24321184454382e-14	3.45316524914507e-13	5.15644479761652	5.24769523100806	4.68470857063924	5.24769523100806	1	TRUE
predefined_top10_each_direction_by_TREAT_FDR	3624	INHBA	227140_at	5.17318867641176	9.23800160268269	4.06481292627093	4.11605527916855	3.28141194571872	4.95069861261837	2.40705770363952e-14	3.78028899526477e-13	4.06481292627093	4.11605527916854	4.23666823512071	3.56706478633488	1	TRUE
