entrez_id	log2FC	fold_change_cancer_over_normal	average_expression	standard_error	ci95_low	ci95_high	moderated_t	p_value	bh_fdr	treat_t	treat_p_value	treat_bh_fdr	symbol_at_run	gene_name_at_run	representative_probe_id	specificity_tier	suffix_class	representative_pooled_median	eligible_probe_count_for_gene	annotation_package	annotation_package_version	human_gene_package_version	s1_log2FC	s1_standard_error	s1_bh_fdr	s1_treat_bh_fdr	s2_log2FC	s2_standard_error	s2_bh_fdr	s2_treat_bh_fdr	s4_no_trend_log2FC	s4_no_trend_standard_error	s4_no_trend_bh_fdr	s4_no_trend_treat_bh_fdr	s4_group_aware_log2FC	s4_group_aware_standard_error	s4_group_aware_bh_fdr	s4_group_aware_treat_bh_fdr	median_collapse_log2FC	median_collapse_standard_error	median_collapse_bh_fdr	median_collapse_treat_bh_fdr	qc_candidate_exclusion_log2FC	qc_candidate_exclusion_standard_error	qc_candidate_exclusion_bh_fdr	qc_candidate_exclusion_treat_bh_fdr	s3_status	s3_log2FC	s3_standard_error	s3_bh_fdr	s3_treat_bh_fdr	constituent_probe_count_modelled	constituent_same_direction_count	constituent_same_direction_fraction	any_opposite_direction_probe	any_material_opposite_treat_probe	material_opposite_probe_ids	statistically_discovered	priority_effect	representative_median_direction_concordant	core_sensitivity_direction_concordant	headline_eligible	contrast	result_annotation_status	leave_one_run_all_same_direction	leave_one_run_min_abs_log2FC
284825	-3.68136129999681	0.0779470751965041	2.95655199630579	0.234602844508939	-4.14629671696697	-3.21642588302664	-15.6918868895324	8.07413569500225e-30	1.64365180343161e-25	-14.5706967079539	1.0108784752765e-27	2.05784531212036e-23	LINC01697	long intergenic non-protein coding RNA 1697	237351_at	1	at	2.312811642	1	hgu133plus2.db	3.13.0	3.22.0	-4.15665473198473	0.194542256204583	1.01907556340855e-38	2.5433585110733e-36	-3.68136129999681	0.308847883278324	3.70731346499251e-13	7.37305757945439e-12	-3.68136129999681	0.235516509213165	3.52450571181735e-25	4.08012682180482e-23	-3.91493818930524	0.254691584572187	2.5571559191852e-25	2.14744516700801e-23	-3.68136129999681	0.234328257512918	1.50861958946476e-25	1.89567558241805e-23	-4.40308592616713	0.180146049355657	5.91228648180739e-41	7.11000158323774e-39	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	1	1	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	3.22700334539247
10894	-4.04682160990535	0.0605041700947384	3.00984852873554	0.277673380042252	-4.59711412234989	-3.49652909746081	-14.574035182233	1.98831457748436e-27	1.811007715936e-23	-13.626755303284	1.17939650754281e-25	1.20044873520245e-21	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1	219059_s_at	3	s_at	2.320772061	2	hgu133plus2.db	3.13.0	3.22.0	-4.44331503759333	0.223662251303391	5.09286678514289e-36	6.97515075087004e-34	-4.04682160990535	0.375430023126256	3.75699283614209e-12	3.79317664875649e-11	-4.04682160990535	0.279097237858643	3.57636883041297e-23	2.42317795301383e-21	-4.26872762507547	0.27643353864028	2.5571559191852e-25	1.50331219908767e-23	-3.23119397742006	0.230941992059286	7.57470030278853e-23	1.8231650472202e-20	-4.87604339116504	0.219728167166977	1.5263904474619e-37	9.11002363063472e-36	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	2	2	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	3.62914574113763
8676	-3.40624614192102	0.0943230289644586	2.95757510520661	0.234669351338631	-3.87131336198444	-2.94117892185759	-14.5150873878104	2.66887220504397e-27	1.811007715936e-23	-13.3942149588658	3.86320957229986e-25	1.96608393158271e-21	STX11	syntaxin 11	235670_at	1	at	2.340308765	2	hgu133plus2.db	3.13.0	3.22.0	-3.58966974250453	0.182410698658275	8.19709320442837e-36	3.17642364411904e-33	-3.40624614192101	0.323804709534563	6.95783129608046e-12	7.29881021540338e-11	-3.40624614192102	0.235582920099916	3.57636883041297e-23	3.69665105423361e-21	-3.46939899275945	0.23322401587487	1.47105603420139e-24	1.81698081538095e-22	-1.90692826872894	0.143623189677129	1.68766197102699e-21	8.50524761445321e-18	-3.81406776986043	0.236362008518617	3.12156770313071e-27	3.05133830565428e-25	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	2	2	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	3.22401139302505
1149	-3.71082518072047	0.0763713226264131	3.00111955195041	0.257349313516151	-4.22083950146353	-3.2008108599774	-14.4194096732556	4.30710923101795e-27	2.19199556539581e-23	-13.3973187174261	3.80246196539057e-25	1.96608393158271e-21	CIDEA	cell death inducing DFFA like effector a	221295_at	1	at	2.312811642	1	hgu133plus2.db	3.13.0	3.22.0	-3.93009694573813	0.201011186424836	1.12322663279672e-35	3.17642364411904e-33	-3.71082518072047	0.349848108092742	5.49167432382737e-12	5.89723034310897e-11	-3.71082518072047	0.258523150235006	3.8206252486585e-23	3.69665105423361e-21	-3.7716360241499	0.284003401059309	3.07809137313626e-21	1.81238036273783e-19	-3.71082518072047	0.257088435777742	1.72813617625422e-23	2.4132388572795e-21	-4.26302085127722	0.23692979613352	1.80271155035113e-30	1.3440795653849e-28	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	1	1	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	3.53336107472663
54988	-3.56232131679277	0.0846514554354722	3.62321833866942	0.247873015902741	-4.05355553113326	-3.07108710245227	-14.3715575647433	5.47404858277136e-27	2.22870413998953e-23	-13.310391608958	5.93287160191471e-25	2.41550934400355e-21	ACSM5	acyl-CoA synthetase medium chain family member 5	220061_at	1	at	2.992016896	3	hgu133plus2.db	3.13.0	3.22.0	-3.61375752206279	0.193031150965972	2.40134726229926e-34	8.26609609786673e-32	-3.56232131679277	0.306353531769916	5.10143619062775e-13	8.30360834248143e-12	-3.56232131679277	0.248378336388425	3.8206252486585e-23	3.8717374897219e-21	-3.47086459751481	0.262824668152114	4.05474665693151e-21	3.27969904760185e-19	-3.78395815704759	0.264944240669038	2.91827962198648e-23	2.69805063196657e-21	-3.83493688729356	0.260845445984641	1.49308706091488e-24	1.04540524071719e-22	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	3	3	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	3.39303437967116
92293	-3.32128087254965	0.100044872098374	5.09337377700827	0.240725316598299	-3.79834979165067	-2.84421195344862	-13.796973743696	9.92947053129369e-26	3.36890386009243e-22	-12.7042992815716	1.34487631904281e-23	3.4222059033443e-20	TMEM132C	transmembrane protein 132C	232313_at	1	at	4.437976796	1	hgu133plus2.db	3.13.0	3.22.0	-3.79893174463632	0.201887608621854	2.15668877453613e-34	4.13611142027941e-32	-3.32128087254965	0.288413018687986	6.04759623062416e-13	9.74052061635249e-12	-3.32128087254965	0.240124254499883	4.06709474431964e-22	5.24208906786289e-20	-3.30487062298865	0.244021343530811	9.01434247597235e-22	1.16312212211292e-19	-3.32128087254965	0.239999997992986	1.49146719230905e-22	2.37820111025778e-20	-3.8801495028271	0.222079638371754	1.43911522900353e-29	1.23324462236006e-27	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	1	1	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	3.16870162796528
206338	-3.76674817799134	0.0734675931545795	3.0033164955124	0.275747791768894	-4.31322456370195	-3.22027179228073	-13.6601209163926	1.99024520553614e-25	4.67242992566094e-22	-12.7062260396777	1.3315929378561e-23	3.4222059033443e-20	LVRN	laeverin	235382_at	1	at	2.312811642	1	hgu133plus2.db	3.13.0	3.22.0	-4.14558306146833	0.214834198772759	3.01992481148611e-35	5.71095502125747e-33	-3.76674817799134	0.37764892607065	2.76631934364846e-11	2.08003752130164e-10	-3.76674817799134	0.277153359013419	9.0905291941971e-22	6.3742966121988e-20	-3.72956560980859	0.329186010637087	1.58044750444009e-17	5.75253288522847e-16	-3.76674817799134	0.275506081216862	2.94020837439752e-22	2.37820111025778e-20	-4.52450514815118	0.230427590738167	2.04411908309869e-33	1.38815620773197e-31	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	1	1	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	3.56008366499646
30819	-3.85505924062103	0.0691053281388309	4.11836992513223	0.282363883835453	-4.41464738348069	-3.29547109776137	-13.6528056926273	2.06572035815437e-25	4.67242992566094e-22	-12.7212616075237	1.23193437530658e-23	3.4222059033443e-20	KCNIP2	potassium voltage-gated channel interacting protein 2	223727_at	1	at	3.365043607	4	hgu133plus2.db	3.13.0	3.22.0	-4.43412520861086	0.234293300314719	1.49100757268457e-34	1.54492293673155e-32	-3.85505924062103	0.381734545141457	2.12950815378545e-11	1.44165150655691e-10	-3.85505924062103	0.283062653880194	8.86989092512226e-22	5.69422018727579e-20	-3.7928298597341	0.291298304399028	9.57338841792036e-21	4.38749847488693e-19	-0.301486735470391	0.0462639265126321	7.23550583656977e-08	0.747528487718468	-4.51614424041487	0.259199777620265	1.61142714264119e-29	8.35815966415214e-28	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	4	4	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	3.55131511019723
2819	-4.82381676595683	0.0353090847124368	3.27606224777686	0.362601986567373	-5.54242060970727	-4.10521292220638	-13.3033379425806	1.23019997875634e-24	2.08693174729524e-21	-12.5779298764973	2.58975126619781e-23	5.85772961399875e-20	GPD1	glycerol-3-phosphate dehydrogenase 1	204997_at	1	at	2.32398055	2	hgu133plus2.db	3.13.0	3.22.0	-5.37890761199378	0.286877491649654	2.40134726229926e-34	1.54492293673155e-32	-4.82381676595682	0.489822028646913	3.85576977648043e-11	1.93608288577988e-10	-4.82381676595683	0.36483848107092	4.40804031588551e-21	1.15242065416977e-19	-4.99072001529959	0.410391189157849	3.95329390473338e-19	6.22908495566678e-18	-2.78452312410833	0.197714599882899	5.63273985456427e-23	2.37820111025778e-20	-5.65686398697173	0.331605160025703	6.46529783786548e-29	1.24918852319243e-27	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	2	2	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	4.40219144057464
126	-4.0870245117581	0.0588414042948091	3.25789273910744	0.304772016155388	-4.6910210434653	-3.4830279800509	-13.4101042586349	7.12341740686159e-25	1.31828552864983e-21	-12.547051248874	3.03825567183814e-23	6.18497707116089e-20	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	206262_at	1	at	2.363016479	1	hgu133plus2.db	3.13.0	3.22.0	-4.59624949013744	0.245382629694508	2.40134726229926e-34	2.76241148294839e-32	-4.0870245117581	0.389685095436168	6.95783129608046e-12	5.89723034310897e-11	-4.0870245117581	0.306336100913242	2.61918673351086e-21	1.15242065416977e-19	-4.1368170703763	0.342021307306536	5.33859119701308e-19	1.64710934379416e-17	-4.0870245117581	0.304481590945303	9.07919844495907e-22	4.85477642483379e-20	-4.98154416731819	0.245309155190083	2.0402346481584e-34	9.36061329582433e-33	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	1	1	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	3.71171116205163
