entrez_id	symbol_at_run	gene_name_at_run	representative_probe_id	specificity_tier	suffix_class	representative_pooled_median	eligible_probe_count_for_gene	annotation_package	annotation_package_version	human_gene_package_version
1	A1BG	alpha-1-B glycoprotein	229819_at	1	at	4.037232888	1	hgu133plus2.db	3.13.0	3.22.0
10	NAT2	N-acetyltransferase 2	206797_at	1	at	2.312811642	1	hgu133plus2.db	3.13.0	3.22.0
100	ADA	adenosine deaminase	204639_at	1	at	5.888740353	2	hgu133plus2.db	3.13.0	3.22.0
1000	CDH2	cadherin 2	203440_at	1	at	2.64565082	2	hgu133plus2.db	3.13.0	3.22.0
10000	AKT3	AKT serine/threonine kinase 3	212607_at	1	at	5.608122476	6	hgu133plus2.db	3.13.0	3.22.0
100009676	ZBTB11-AS1	ZBTB11 antisense RNA 1	232260_at	1	at	2.312811642	2	hgu133plus2.db	3.13.0	3.22.0
10001	MED6	mediator complex subunit 6	207078_at	1	at	4.57064436	3	hgu133plus2.db	3.13.0	3.22.0
10002	NR2E3	nuclear receptor subfamily 2 group E member 3	208388_at	1	at	2.538788317	2	hgu133plus2.db	3.13.0	3.22.0
10003	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	1554504_at	1	at	2.312811642	4	hgu133plus2.db	3.13.0	3.22.0
100033431	SNORD116-20	small nucleolar RNA, C/D box 116-20	232976_at	1	at	2.324626667	1	hgu133plus2.db	3.13.0	3.22.0
100038246	TLX1NB	TLX1 neighbor	1560883_s_at	3	s_at	2.312811642	1	hgu133plus2.db	3.13.0	3.22.0
10004	NAALADL1	N-acetylated alpha-linked acidic dipeptidase like 1	228424_at	1	at	3.496365371	2	hgu133plus2.db	3.13.0	3.22.0
100048912	CDKN2B-AS1	CDKN2B and CDKN2A antisense cis and trans regulatory RNA 1	1559884_at	1	at	2.312811642	1	hgu133plus2.db	3.13.0	3.22.0
100049716	NINJ2-AS1	NINJ2 antisense RNA 1	228647_at	1	at	4.789127031	2	hgu133plus2.db	3.13.0	3.22.0
10005	ACOT8	acyl-CoA thioesterase 8	204212_at	1	at	6.319855643	2	hgu133plus2.db	3.13.0	3.22.0
10006	ABI1	abl interactor 1	1559890_a_at	2	a_at	2.312811642	3	hgu133plus2.db	3.13.0	3.22.0
10007	GNPDA1	glucosamine-6-phosphate deaminase 1	202382_s_at	3	s_at	7.482143306	1	hgu133plus2.db	3.13.0	3.22.0
10008	KCNE3	potassium voltage-gated channel subfamily E regulatory subunit 3	227647_at	1	at	3.816172985	3	hgu133plus2.db	3.13.0	3.22.0
10009	ZBTB33	zinc finger and BTB domain containing 33	226255_at	1	at	8.515136694	2	hgu133plus2.db	3.13.0	3.22.0
100093630	SNHG8	small nucleolar RNA host gene 8	225220_at	1	at	8.183160717	1	hgu133plus2.db	3.13.0	3.22.0
1001	CDH3	cadherin 3	203256_at	1	at	6.870501504	1	hgu133plus2.db	3.13.0	3.22.0
10010	TANK	TRAF family member associated NFKB activator	209451_at	1	at	9.221215645	4	hgu133plus2.db	3.13.0	3.22.0
100101266	HAVCR1P1	hepatitis A virus cellular receptor 1 pseudogene 1	239386_at	1	at	2.334543543	1	hgu133plus2.db	3.13.0	3.22.0
100101467	ZSCAN30	zinc finger and SCAN domain containing 30	228125_at	1	at	5.671603156	5	hgu133plus2.db	3.13.0	3.22.0
