removed_run	status	error	samples_retained	removed_normal_n	removed_cancer_n	removed_run_type	spearman_all_tested	pearson_all_tested	p1_priority_sign_concordance	p1_priority_reversed_count	median_abs_effect_ratio_p1_priority
2004-11-26	completed	NA	118	0	3	cancer_only	0.999999985606132	1	1	0	1
2004-12-03	completed	NA	113	0	8	cancer_only	0.999999987771116	1	1	0	1
2004-12-07	completed	NA	113	0	8	cancer_only	0.999999986921196	1	1	0	1
2004-12-08	completed	NA	113	0	8	cancer_only	0.999999986482723	1	1	0	1
2004-12-09	completed	NA	110	0	11	cancer_only	0.999999987916206	1	1	0	1
2004-12-10	completed	NA	111	0	10	cancer_only	0.999999990041361	1	1	0	1
2004-12-14	completed	NA	106	3	12	mixed	0.924441777722851	0.981450612682906	1	0	1.0594620630928
2004-12-15	completed	NA	108	3	10	mixed	0.950604925765654	0.985984630227873	1	0	1.03377362806313
2004-12-20	completed	NA	110	0	11	cancer_only	0.999999989247629	1	1	0	1
2004-12-21	completed	NA	110	1	10	mixed	0.988732162581495	0.996498058040448	1	0	0.96760676821321
2004-12-22	completed	NA	111	1	9	mixed	0.988278967932334	0.996813660249772	1	0	0.988328205378398
2005-01-25	completed	NA	110	8	3	mixed	0.952996956066787	0.981910339618567	1	0	0.987474711367216
2005-01-26	completed	NA	119	1	1	mixed	0.995725050489128	0.998574080741429	1	0	0.97311951004004
