PC	group_r2	run_r2	group_partial_r2_given_run	run_partial_r2_given_group
PC1	0.678280320610491	0.394205506312037	0.539905704848331	0.133647680151164
PC2	0.064924378619289	0.0501840357255923	0.117523422961004	0.103612240759501
PC3	0.0276358443541476	0.116909419390092	0.00573265315827303	0.0970171786919276
PC4	0.0303802814532655	0.0599172178334757	0.0285985533762295	0.0581897654563369
PC5	0.00203606114289467	0.113903729293476	0.00097321578512757	0.112960024545052
PC6	0.00905897430266933	0.11782379557882	0.00677272111663912	0.115788479545176
PC7	0.00520770508807833	0.16951543504662	0.00048532076140754	0.16557303690669
PC8	0.00382557259516481	0.0913377829445083	0.000718821703579137	0.0885039547761408
PC9	0.0034874437983885	0.100602703187986	0.0125414945827434	0.108774390288133
PC10	0.00961144984253814	0.0934179219757183	0.00295359141771218	0.0873234501393764
