entrez_id	constituent_probe_count_modelled	constituent_same_direction_count	constituent_same_direction_fraction	any_opposite_direction_probe	any_material_opposite_treat_probe	material_opposite_probe_ids
1	1	1	1	FALSE	FALSE	
10	1	1	1	FALSE	FALSE	
100	2	2	1	FALSE	FALSE	
1000	2	1	0.5	TRUE	FALSE	
10000	6	4	0.666666666666667	TRUE	FALSE	
100009676	2	2	1	FALSE	FALSE	
10001	3	1	0.333333333333333	TRUE	FALSE	
10002	2	2	1	FALSE	FALSE	
10003	4	4	1	FALSE	FALSE	
100033431	1	1	1	FALSE	FALSE	
100038246	1	1	1	FALSE	FALSE	
10004	2	2	1	FALSE	FALSE	
100048912	1	1	1	FALSE	FALSE	
100049716	2	2	1	FALSE	FALSE	
10005	2	2	1	FALSE	FALSE	
10006	3	2	0.666666666666667	TRUE	FALSE	
10007	1	1	1	FALSE	FALSE	
10008	3	3	1	FALSE	FALSE	
10009	2	2	1	FALSE	FALSE	
100093630	1	1	1	FALSE	FALSE	
1001	1	1	1	FALSE	FALSE	
10010	4	3	0.75	TRUE	FALSE	
100101266	1	1	1	FALSE	FALSE	
100101467	5	2	0.4	TRUE	FALSE	
100101938	1	1	1	FALSE	FALSE	
10011	2	2	1	FALSE	FALSE	
100113403	1	1	1	FALSE	FALSE	
100113407	1	1	1	FALSE	FALSE	
100124700	1	1	1	FALSE	FALSE	
100125288	1	1	1	FALSE	FALSE	
100126784	3	2	0.666666666666667	TRUE	FALSE	
100126791	1	1	1	FALSE	FALSE	
100126793	2	2	1	FALSE	FALSE	
100127888	1	1	1	FALSE	FALSE	
100127938	1	1	1	FALSE	FALSE	
100127950	1	1	1	FALSE	FALSE	
100127955	1	1	1	FALSE	FALSE	
100127983	2	2	1	FALSE	FALSE	
100128025	2	1	0.5	TRUE	FALSE	
100128071	2	1	0.5	TRUE	FALSE	
100128079	1	1	1	FALSE	FALSE	
100128081	1	1	1	FALSE	FALSE	
100128098	1	1	1	FALSE	FALSE	
100128108	1	1	1	FALSE	FALSE	
100128124	1	1	1	FALSE	FALSE	
100128126	1	1	1	FALSE	FALSE	
100128139	1	1	1	FALSE	FALSE	
100128164	1	1	1	FALSE	FALSE	
100128176	2	1	0.5	TRUE	FALSE	
100128191	1	1	1	FALSE	FALSE	
100128239	1	1	1	FALSE	FALSE	
100128252	1	1	1	FALSE	FALSE	
100128262	1	1	1	FALSE	FALSE	
100128285	1	1	1	FALSE	FALSE	
100128288	1	1	1	FALSE	FALSE	
100128292	2	1	0.5	TRUE	FALSE	
100128325	1	1	1	FALSE	FALSE	
100128327	1	1	1	FALSE	FALSE	
100128398	2	1	0.5	TRUE	FALSE	
100128420	1	1	1	FALSE	FALSE	
100128496	1	1	1	FALSE	FALSE	
100128511	1	1	1	FALSE	FALSE	
100128537	1	1	1	FALSE	FALSE	
100128554	1	1	1	FALSE	FALSE	
100128590	2	1	0.5	TRUE	FALSE	
100128594	1	1	1	FALSE	FALSE	
100128653	1	1	1	FALSE	FALSE	
100128731	1	1	1	FALSE	FALSE	
100128750	1	1	1	FALSE	FALSE	
100128782	4	3	0.75	TRUE	FALSE	
100128788	1	1	1	FALSE	FALSE	
100128822	1	1	1	FALSE	FALSE	
100128830	1	1	1	FALSE	FALSE	
100128881	1	1	1	FALSE	FALSE	
100128893	1	1	1	FALSE	FALSE	
100128927	1	1	1	FALSE	FALSE	
100128946	1	1	1	FALSE	FALSE	
100128977	3	2	0.666666666666667	TRUE	FALSE	
100128988	2	2	1	FALSE	FALSE	
100128993	1	1	1	FALSE	FALSE	
100128998	2	2	1	FALSE	FALSE	
100129029	1	1	1	FALSE	FALSE	
100129034	2	2	1	FALSE	FALSE	
100129098	1	1	1	FALSE	FALSE	
100129129	2	2	1	FALSE	FALSE	
100129175	1	1	1	FALSE	FALSE	
100129195	1	1	1	FALSE	FALSE	
100129196	2	2	1	FALSE	FALSE	
100129250	2	2	1	FALSE	FALSE	
100129271	2	2	1	FALSE	FALSE	
100129361	3	3	1	FALSE	FALSE	
100129387	2	2	1	FALSE	FALSE	
100129427	1	1	1	FALSE	FALSE	
100129455	1	1	1	FALSE	FALSE	
100129460	1	1	1	FALSE	FALSE	
100129461	2	1	0.5	TRUE	FALSE	
100129482	2	2	1	FALSE	FALSE	
100129528	1	1	1	FALSE	FALSE	
100129550	1	1	1	FALSE	FALSE	
100129583	1	1	1	FALSE	FALSE	
100129597	1	1	1	FALSE	FALSE	
100129603	1	1	1	FALSE	FALSE	
100129620	1	1	1	FALSE	FALSE	
100129654	1	1	1	FALSE	FALSE	
100129662	1	1	1	FALSE	FALSE	
100129716	1	1	1	FALSE	FALSE	
100129726	1	1	1	FALSE	FALSE	
100129792	1	1	1	FALSE	FALSE	
100129794	1	1	1	FALSE	FALSE	
100129827	1	1	1	FALSE	FALSE	
100129845	1	1	1	FALSE	FALSE	
100129858	2	2	1	FALSE	FALSE	
100129917	1	1	1	FALSE	FALSE	
100129935	1	1	1	FALSE	FALSE	
100129961	1	1	1	FALSE	FALSE	
100129969	1	1	1	FALSE	FALSE	
100129973	1	1	1	FALSE	FALSE	
10013	3	2	0.666666666666667	TRUE	FALSE	
100130111	2	2	1	FALSE	FALSE	
100130155	3	1	0.333333333333333	TRUE	FALSE	
100130249	1	1	1	FALSE	FALSE	
100130264	1	1	1	FALSE	FALSE	
100130268	1	1	1	FALSE	FALSE	
100130275	2	1	0.5	TRUE	FALSE	
100130331	1	1	1	FALSE	FALSE	
100130348	1	1	1	FALSE	FALSE	
100130357	1	1	1	FALSE	FALSE	
