probe_id	entrez_count	mapped_entrez_ids	probe_variance	pooled_median_expression	is_constant	is_affx_control	suffix_class	mapping_status	primary_eligible	many_probes_per_gene
1007_s_at	1	780	1.7381030732996	7.255680267	FALSE	FALSE	s_at	primary_eligible	TRUE	FALSE
1053_at	1	5982	0.607154527601121	5.572706568	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
117_at	1	3310	0.54456768654246	4.207913454	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
121_at	1	7849	0.125806649743663	3.57470571	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1255_g_at	1	2978	0.000450546971114829	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1294_at	1	7318	0.969586096427011	5.823408274	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1316_at	1	7067	1.06049349457555	6.218358714	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1320_at	1	11099	0.0244522073541429	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1405_i_at	1	6352	3.94122476854583	6.829187363	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1431_at	1	1571	0.0459290073077724	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1438_at	1	2049	0.7309277841598	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1487_at	1	2101	0.469895516420611	5.711534444	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1494_f_at	1	1548	3.84130286965528	2.47588647	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
1552256_a_at	1	949	1.12821285005461	7.598542367	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552257_a_at	1	23170	1.36692449961477	7.080898853	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552258_at	0	NA	0.0825001990942229	2.319713987	FALSE	FALSE	at	unmapped	FALSE	FALSE
1552261_at	1	10406	0.202370306506173	2.417580747	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552263_at	1	5594	0.831924321975396	4.973481832	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552264_a_at	1	5594	0.254889518591253	3.285342522	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552266_at	1	203102	0.236279117643645	2.397712788	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
1552269_at	1	128153	0.377516988331535	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552271_at	1	163154	0.0419107573905152	2.396091801	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552272_a_at	1	163154	0.13606875048183	2.312811642	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552274_at	1	54899	0.242636561412324	3.19527991	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552275_s_at	1	54899	0.518658167109159	3.183739179	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
1552276_a_at	1	57617	0.0146983553599047	2.315718712	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552277_a_at	1	91283	0.815283550368084	4.221623747	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552278_a_at	1	113235	0.229242142372446	2.312811642	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552279_a_at	1	113235	0.268943587584854	3.067798779	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552280_at	1	91937	0.162399446580624	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
1552281_at	1	283375	0.123529537679546	3.617608199	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552283_s_at	2	653082;79844	1.33817571948735	4.632119597	FALSE	FALSE	s_at	one_to_many	FALSE	FALSE
1552286_at	1	90423	0.640728941287295	5.398896795	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552287_s_at	1	172	0.962447921172889	5.783180102	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
1552288_at	1	148113	0.0391658879633288	2.340484935	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552289_a_at	1	148113	0.238047860308801	2.644140265	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552291_at	1	54965	0.604681547474559	8.072803885	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552293_at	1	256130	0.0495515507090755	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552295_a_at	1	91252	0.0694874436488307	3.740860283	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552296_at	1	266675	0.12718309615778	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
1552299_at	1	221264	0.21720067086167	2.363501926	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552301_a_at	1	84940	2.60280448361097	3.174537454	FALSE	FALSE	a_at	primary_eligible	TRUE	FALSE
1552302_at	1	113277	1.26997873806908	7.19227345	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552303_a_at	1	113277	0.271649352161109	4.534770891	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552304_at	1	84920	0.108270717458619	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552306_at	1	84920	0.210509355234613	2.978496321	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552307_a_at	1	125488	0.620866645810866	4.253718485	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552309_a_at	1	91624	1.37442368077841	3.785158665	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552310_at	1	123207	1.1201147759788	5.91596546	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552311_a_at	1	84839	0.191963084191425	4.016972197	FALSE	FALSE	a_at	primary_eligible	TRUE	FALSE
1552312_a_at	1	4238	0.141404267787319	2.448700704	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552314_a_at	1	2140	0.0443077223082581	2.312811642	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552315_at	1	170575	0.503910122923783	3.693723669	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552316_a_at	1	170575	2.21286835206279	6.497837055	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552318_at	1	170575	0.424668352881069	2.470202571	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552319_a_at	1	11202	0.060489838240327	2.96500839	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552320_a_at	1	85478	0.112345561076023	2.312811642	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552321_a_at	1	85478	0.00919961045487967	2.312811642	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552322_at	1	159091	0.00978651658488913	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552323_s_at	1	159091	0.0251550605744661	2.312811642	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
1552325_at	1	220136	0.0629199063943512	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552326_a_at	1	220136	0.671027755937865	2.710611802	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552327_at	1	100131755	0.308465986390733	2.335751152	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552329_at	1	5930	0.569650281415767	4.368226145	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552330_at	1	92806	0.828329950941015	3.483841715	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552332_at	1	11078	0.0780401954479696	4.488807887	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552334_at	1	11078	0.203393788123277	2.924640504	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552335_at	1	117144	0.00387479770459891	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
1552337_s_at	1	3233	0.0275958573328875	2.312811642	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
1552338_at	1	145258	0.0418523330384726	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
1552340_at	1	121340	0.016212216751443	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
1552343_s_at	1	5150	0.906251831968039	4.93658176	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
1552344_s_at	1	29883	0.117129680077504	2.379989829	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
1552347_at	1	9946	0.485644150623632	5.882983255	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552348_at	1	260429	1.53664605913185	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552349_a_at	1	260429	1.06464822757425	2.312811642	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552354_at	1	255057	0.0210136794265813	2.322121555	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552355_s_at	1	255057	0.0232180048189946	2.312811642	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
1552359_at	1	157777	0.00720459230449278	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552360_a_at	1	114609	0.0901244006299019	2.84561206	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552362_a_at	1	116842	0.905053859730203	3.894916216	FALSE	FALSE	a_at	primary_eligible	TRUE	FALSE
1552364_s_at	1	124540	0.80872069507834	2.993209678	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
1552365_at	1	85477	3.07649668891231	3.177048006	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552367_a_at	1	85477	0.49158444969905	2.323435839	FALSE	FALSE	a_at	primary_eligible	TRUE	TRUE
1552368_at	1	140690	0.0504742493661641	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
1552370_at	1	132321	0.265999432716757	2.730471117	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552372_at	1	132321	0.017720205151206	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
1552373_s_at	1	132321	0.0280307866558546	2.312811642	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
