probe_id	suffix_class	pooled_median_expression	entrez_id	specificity_tier	selection_rank	selected_representative	eligible_probe_count_for_gene
229819_at	at	4.037232888	1	1	1	TRUE	1
206797_at	at	2.312811642	10	1	1	TRUE	1
204639_at	at	5.888740353	100	1	1	TRUE	2
216705_s_at	s_at	2.651570469	100	3	2	FALSE	2
203440_at	at	2.64565082	1000	1	1	TRUE	2
203441_s_at	s_at	2.624613434	1000	3	2	FALSE	2
212607_at	at	5.608122476	10000	1	1	TRUE	6
222880_at	at	4.563073274	10000	1	2	FALSE	6
242876_at	at	2.940268689	10000	1	3	FALSE	6
212609_s_at	s_at	6.310877939	10000	3	4	FALSE	6
224229_s_at	s_at	2.316295761	10000	3	5	FALSE	6
219393_s_at	s_at	2.312811642	10000	3	6	FALSE	6
232260_at	at	2.312811642	100009676	1	1	TRUE	2
232259_s_at	s_at	3.807431839	100009676	3	2	FALSE	2
207078_at	at	4.57064436	10001	1	1	TRUE	3
210104_at	at	3.750323223	10001	1	2	FALSE	3
207079_s_at	s_at	2.423858412	10001	3	3	FALSE	3
208388_at	at	2.538788317	10002	1	1	TRUE	2
208385_at	at	2.374207998	10002	1	2	FALSE	2
1554504_at	at	2.312811642	10003	1	1	TRUE	4
1554507_at	at	2.312811642	10003	1	2	FALSE	4
222161_at	at	2.312811642	10003	1	3	FALSE	4
233815_at	at	2.312811642	10003	1	4	FALSE	4
232976_at	at	2.324626667	100033431	1	1	TRUE	1
1560883_s_at	s_at	2.312811642	100038246	3	1	TRUE	1
228424_at	at	3.496365371	10004	1	1	TRUE	2
207895_at	at	2.91854195	10004	1	2	FALSE	2
1559884_at	at	2.312811642	100048912	1	1	TRUE	1
228647_at	at	4.789127031	100049716	1	1	TRUE	2
236886_at	at	2.373612698	100049716	1	2	FALSE	2
204212_at	at	6.319855643	10005	1	1	TRUE	2
236514_at	at	4.040510992	10005	1	2	FALSE	2
1559890_a_at	a_at	2.312811642	10006	2	1	TRUE	3
209028_s_at	s_at	7.805617741	10006	3	2	FALSE	3
209027_s_at	s_at	6.301422234	10006	3	3	FALSE	3
202382_s_at	s_at	7.482143306	10007	3	1	TRUE	1
227647_at	at	3.816172985	10008	1	1	TRUE	3
222922_at	at	2.312811642	10008	1	2	FALSE	3
222923_s_at	s_at	2.34627402	10008	3	3	FALSE	3
226255_at	at	8.515136694	10009	1	1	TRUE	2
214631_at	at	2.312811642	10009	1	2	FALSE	2
225220_at	at	8.183160717	100093630	1	1	TRUE	1
203256_at	at	6.870501504	1001	1	1	TRUE	1
209451_at	at	9.221215645	10010	1	1	TRUE	4
243376_at	at	2.634549924	10010	1	2	FALSE	4
207616_s_at	s_at	6.046432204	10010	3	3	FALSE	4
210458_s_at	s_at	2.481462331	10010	3	4	FALSE	4
239386_at	at	2.334543543	100101266	1	1	TRUE	1
228125_at	at	5.671603156	100101467	1	1	TRUE	5
228130_at	at	4.683025228	100101467	1	2	FALSE	5
1557104_at	at	2.312811642	100101467	1	3	FALSE	5
1562988_at	at	2.312811642	100101467	1	4	FALSE	5
1557105_a_at	a_at	2.312811642	100101467	2	5	FALSE	5
1569996_at	at	2.312811642	100101938	1	1	TRUE	1
224864_at	at	7.5664717	10011	1	1	TRUE	2
224130_s_at	s_at	6.120140422	10011	3	2	FALSE	2
244175_at	at	4.933922919	100113403	1	1	TRUE	1
235798_at	at	3.67685594	100113407	1	1	TRUE	1
239153_at	at	2.916115541	100124700	1	1	TRUE	1
239720_at	at	2.848837303	100125288	1	1	TRUE	1
239141_at	at	2.342130461	100126784	1	1	TRUE	3
236102_at	at	2.312811642	100126784	1	2	FALSE	3
240407_at	at	2.312811642	100126784	1	3	FALSE	3
240475_at	at	2.312811642	100126791	1	1	TRUE	1
244695_at	at	4.034399311	100126793	1	1	TRUE	2
239617_at	at	2.673749442	100126793	1	2	FALSE	2
1554332_a_at	a_at	2.314118219	100127888	2	1	TRUE	1
1570040_at	at	2.312811642	100127938	1	1	TRUE	1
1560950_at	at	2.312811642	100127950	1	1	TRUE	1
1563709_at	at	2.312811642	100127955	1	1	TRUE	1
228107_at	at	2.454378557	100127983	1	1	TRUE	2
1557961_s_at	s_at	4.094557789	100127983	3	2	FALSE	2
1562765_at	at	2.312811642	100128025	1	1	TRUE	2
228629_s_at	s_at	2.312811642	100128025	3	2	FALSE	2
228451_at	at	2.427669894	100128071	1	1	TRUE	2
1556560_a_at	a_at	2.312811642	100128071	2	2	FALSE	2
1569620_s_at	s_at	2.312811642	100128079	3	1	TRUE	1
1559650_at	at	2.312811642	100128081	1	1	TRUE	1
242350_s_at	s_at	3.19731677	100128098	3	1	TRUE	1
243957_at	at	2.392676543	100128108	1	1	TRUE	1
211111_at	at	2.722063546	100128124	1	1	TRUE	1
1561391_at	at	2.312811642	100128126	1	1	TRUE	1
236768_at	at	2.312811642	100128139	1	1	TRUE	1
237635_at	at	2.315442078	100128164	1	1	TRUE	1
